country,year,population,e_waste_generated_kt,eee_put_on_market_kt,e_waste_collection_rate,e_waste_formally_collected_kt,e_waste_imported_kt,e_waste_exported_kt,e_waste_generated_per_capita,eee_put_on_market_per_capita,temperature_exchange_equipment_kt,screens_kt,lamps_kt,large_equipment_kt,small_equipment_kt,small_it_kt,source_file,country_clean,iso3,gdp_per_capita,average_household_size,ewaste_management_collection_rate,ewaste_generated_kg_inh,eee_placed_on_market_kg_inh,ewaste_formally_collected_kg_inh,generated_ewaste_plastic_kg_inh,generated_bfrs_from_ewaste_kg_inh,value_x,value_y,category_x,share_value_x,category_y,share_value_y
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,screens_and_monitors,0.06,temperature_exchange_equipment,0.2
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,screens_and_monitors,0.06,screens_and_monitors,0.03
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,screens_and_monitors,0.06,lamps,0.06
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,screens_and_monitors,0.06,large_equipment,0.25
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,screens_and_monitors,0.06,small_equipment,0.39
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,screens_and_monitors,0.06,small_it,0.07
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,lamps,0.08,temperature_exchange_equipment,0.2
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,lamps,0.08,screens_and_monitors,0.03
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,lamps,0.08,lamps,0.06
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,lamps,0.08,large_equipment,0.25
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,lamps,0.08,small_equipment,0.39
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,lamps,0.08,small_it,0.07
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,large_equipment,0.22,temperature_exchange_equipment,0.2
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,large_equipment,0.22,screens_and_monitors,0.03
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv,bolivia plurinational state of,BOL,9110.0,3.5,0.04,4.7,7.5,0.2,1.2,0.1,8.4,4.2,large_equipment,0.22,lamps,0.06
